■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2023-02-17,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2022~2022   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,"전국
스크린수","전국
매출액","전국
관객수","서울
매출액","서울
관객수",장르,등급,영화구분
90,리미트,이승준,"(주)베러투모로우,나로픽처스(주),(유)조이앤시네마",,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2022-08-31,개봉영화,장편,한국,687,"636,265,902","67,971","163,332,653","16,813",범죄,15세이상관람가,일반영화
91,대무가,이한종,(주)쿠키픽쳐스,,"판씨네마(주),(주)케이티알파",2022-10-12,개봉영화,장편,한국,587,"567,401,256","62,999","195,742,639","23,650",드라마,15세이상관람가,독립/예술영화
92,극장판 5등분의 신부,진보 마사토,,(주)애니플러스,(주)애니플러스,2022-09-22,개봉영화,장편,일본,91,"671,267,500","62,223","183,230,700","16,938",애니메이션,12세이상관람가,일반영화
93,엔시티 드림 더 무비 : 인 어 드림,"이예지,오윤동",씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2022-11-30,개봉영화,장편,한국,103,"1,240,019,100","62,019","577,903,000","28,899",다큐멘터리,전체관람가,일반영화
94,빅샤크4: 바다공룡 대모험,,,(주)히스토리필름,와이드 릴리즈(주),2022-07-06,개봉영화,장편,중국,455,"540,193,280","61,333","74,209,080","8,515",어드벤처,전체관람가,일반영화
95,더 킬러: 죽어도 되는 아이,최재훈,"(주)아센디오,(주)씨네마로엔터테인먼트",,"(주)아이에이치큐,(주)영화사 륙,(주)씨네필운",2022-07-13,개봉영화,장편,한국,314,"601,780,660","60,175","148,344,520","15,356",액션,청소년관람불가,일반영화
96,티켓 투 파라다이스,올 파커,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-10-12,개봉영화,장편,미국,581,"572,962,108","60,001","255,611,601","27,567",멜로/로맨스,12세이상관람가,일반영화
97,시맨틱 에러: 더 무비,김수정,주식회사 왓챠,,주식회사 왓챠,2022-08-31,개봉영화,장편,한국,57,"656,057,000","59,314","403,417,800","34,719",멜로/로맨스,12세이상관람가,일반영화
98,드라이브 마이 카,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-23,개봉영화,장편,일본,69,"551,641,780","59,060","396,354,610","41,567",드라마,15세이상관람가,독립/예술영화
99,본즈 앤 올,루카 구아다니노,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-11-30,개봉영화,장편,미국,356,"609,027,948","58,181","355,840,509","33,417",공포(호러),청소년관람불가,일반영화
100,고고다이노 극장판: 얼음공룡의 비밀,이선명,(주)모꼬지,,"(주)넥스트엔터테인먼트월드(NEW),(주)블루라벨픽쳐스",2022-10-05,개봉영화,장편,한국,531,"489,650,813","53,685","88,245,897","10,354",애니메이션,전체관람가,독립/예술영화
101,인생은 뷰티풀: 비타돌체,"김선형,오윤동",씨제이포디플렉스 주식회사,,"씨제이 씨지브이(CJ CGV)(주),씨제이포디플렉스 주식회사",2022-09-07,개봉영화,장편,한국,107,"1,667,323,500","52,969","647,908,500","19,918",다큐멘터리,전체관람가,일반영화
102,아인보: 아마존의 전설,"리처드 클라우스,호세 젤라다",,(주)퍼스트런,(주)디스테이션,2022-10-26,개봉영화,장편,페루,401,"397,326,479","51,683","30,757,888","3,576",애니메이션,전체관람가,일반영화
